Participant ID,1_PANAS_qn0,1_PANAS_qn1,1_PANAS_qn2,1_PANAS_qn3,1_PANAS_qn4,1_PANAS_qn5,1_PANAS_qn6,1_PANAS_qn7,1_PANAS_qn8,1_PANAS_qn9,2_PANAS_qn10,2_PANAS_qn11,2_PANAS_qn12,2_PANAS_qn13,2_PANAS_qn14,2_PANAS_qn15,2_PANAS_qn16,2_PANAS_qn17,2_PANAS_qn18,2_PANAS_qn19,2_PANAS_qn20
80,Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),Extremely (5),Very slightly or not at all (1) ,Moderately (3),A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Extremely (5),Moderately (3),A little (2),Moderately (3),Very slightly or not at all (1) ,A little (2),A little (2),A little (2),Quite a bit (4),A little (2),Moderately (3),Very slightly or not at all (1) 
81,A little (2),,Moderately (3),Extremely (5),Moderately (3),A little (2),A little (2),Moderately (3),A little (2),A little (2),A little (2),Moderately (3),Moderately (3),A little (2),A little (2),Moderately (3),A little (2),A little (2),Moderately (3),Moderately (3),Moderately (3)
82,Quite a bit (4),Very slightly or not at all (1) ,A little (2),Extremely (5),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Quite a bit (4),Quite a bit (4),Quite a bit (4),Quite a bit (4),Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) ,Quite a bit (4),Quite a bit (4),A little (2),Moderately (3),Very slightly or not at all (1) 
83,A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Extremely (5),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),Quite a bit (4),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Extremely (5),Extremely (5),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) 
84,Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),Extremely (5),Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Moderately (3),Quite a bit (4),Very slightly or not at all (1) ,Quite a bit (4),,Very slightly or not at all (1) ,Moderately (3),Quite a bit (4),Quite a bit (4),Very slightly or not at all (1) ,A little (2),A little (2)
85,Moderately (3),A little (2),Moderately (3),Extremely (5),Very slightly or not at all (1) ,Moderately (3),A little (2),A little (2),Very slightly or not at all (1) ,Moderately (3),Moderately (3),A little (2),Moderately (3),A little (2),Moderately (3),A little (2),Moderately (3),Moderately (3),A little (2),Quite a bit (4),A little (2)
86,Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),Extremely (5),Very slightly or not at all (1) ,A little (2),A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Moderately (3),A little (2),Very slightly or not at all (1) ,Extremely (5),Very slightly or not at all (1) ,A little (2),A little (2),Moderately (3),Moderately (3),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) 
87,Extremely (5),Very slightly or not at all (1) ,Quite a bit (4),Extremely (5),Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Quite a bit (4),Extremely (5),Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) ,Extremely (5),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) 
88,Moderately (3),A little (2),Very slightly or not at all (1) ,Extremely (5),Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Quite a bit (4),A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) 
89,Extremely (5),A little (2),Moderately (3),Extremely (5),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),Moderately (3),Moderately (3),A little (2),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) 
90,Moderately (3),A little (2),A little (2),Extremely (5),A little (2),A little (2),Moderately (3),A little (2),Very slightly or not at all (1) ,A little (2),Quite a bit (4),Quite a bit (4),Moderately (3),Very slightly or not at all (1) ,A little (2),A little (2),Quite a bit (4),Moderately (3),Quite a bit (4),A little (2),Moderately (3)
91,Quite a bit (4),Very slightly or not at all (1) ,Quite a bit (4),Extremely (5),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Quite a bit (4),Moderately (3),Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),Moderately (3),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) 
92,Quite a bit (4),Moderately (3),Moderately (3),Extremely (5),A little (2),A little (2),Moderately (3),Moderately (3),A little (2),Quite a bit (4),Moderately (3),A little (2),Moderately (3),Very slightly or not at all (1) ,Moderately (3),Quite a bit (4),Quite a bit (4),Moderately (3),Moderately (3),Moderately (3),A little (2)
93,Moderately (3),Very slightly or not at all (1) ,Moderately (3),Extremely (5),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Moderately (3),Moderately (3),A little (2),Moderately (3),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Moderately (3),Moderately (3),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) 
94,Quite a bit (4),Very slightly or not at all (1) ,A little (2),Extremely (5),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Moderately (3),Moderately (3),A little (2),Moderately (3),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Moderately (3),Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) 
95,Extremely (5),Very slightly or not at all (1) ,Quite a bit (4),Extremely (5),Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Quite a bit (4),Quite a bit (4),Very slightly or not at all (1) ,Extremely (5),Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) ,Quite a bit (4),Extremely (5),Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) 
96,A little (2),A little (2),Very slightly or not at all (1) ,Extremely (5),A little (2),Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Moderately (3),A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),A little (2),A little (2),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) 
100,Extremely (5),Moderately (3),A little (2),Extremely (5),Quite a bit (4),Extremely (5),Quite a bit (4),Moderately (3),A little (2),Extremely (5),Quite a bit (4),Quite a bit (4),Moderately (3),Very slightly or not at all (1) ,Quite a bit (4),Moderately (3),Quite a bit (4),Extremely (5),Moderately (3),Moderately (3),Moderately (3)
101,Quite a bit (4),A little (2),Moderately (3),Extremely (5),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Moderately (3),A little (2),Very slightly or not at all (1) ,Quite a bit (4),A little (2),Moderately (3),Very slightly or not at all (1) ,Moderately (3),Moderately (3),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) 
102,Extremely (5),A little (2),A little (2),Extremely (5),A little (2),Quite a bit (4),A little (2),A little (2),Very slightly or not at all (1) ,Quite a bit (4),A little (2),Very slightly or not at all (1) ,Extremely (5),Very slightly or not at all (1) ,A little (2),A little (2),Extremely (5),Extremely (5),Very slightly or not at all (1) ,Extremely (5),Very slightly or not at all (1) 
103,Moderately (3),Very slightly or not at all (1) ,Moderately (3),Extremely (5),Very slightly or not at all (1) ,Quite a bit (4),A little (2),Very slightly or not at all (1) ,A little (2),Moderately (3),A little (2),A little (2),Moderately (3),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,A little (2),Moderately (3),Very slightly or not at all (1) ,Moderately (3),A little (2)
104,A little (2),Moderately (3),Very slightly or not at all (1) ,Extremely (5),Moderately (3),Moderately (3),Extremely (5),A little (2),A little (2),Moderately (3),Moderately (3),Quite a bit (4),A little (2),Very slightly or not at all (1) ,A little (2),Moderately (3),A little (2),A little (2),Moderately (3),A little (2),Very slightly or not at all (1) 
105,Moderately (3),Moderately (3),Quite a bit (4),Extremely (5),Moderately (3),A little (2),Moderately (3),A little (2),Very slightly or not at all (1) ,Moderately (3),A little (2),A little (2),A little (2),Very slightly or not at all (1) ,Moderately (3),Quite a bit (4),Moderately (3),Moderately (3),A little (2),A little (2),A little (2)
106,Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),Extremely (5),Very slightly or not at all (1) ,Quite a bit (4),A little (2),A little (2),Very slightly or not at all (1) ,Moderately (3),Quite a bit (4),A little (2),Quite a bit (4),Very slightly or not at all (1) ,Quite a bit (4),A little (2),Extremely (5),Moderately (3),Very slightly or not at all (1) ,Quite a bit (4),A little (2)
107,A little (2),Moderately (3),A little (2),Extremely (5),A little (2),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),A little (2),Moderately (3),Very slightly or not at all (1) ,Moderately (3),A little (2),A little (2),A little (2),Moderately (3),Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) 
108,Quite a bit (4),Moderately (3),Moderately (3),Extremely (5),Very slightly or not at all (1) ,A little (2),A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Moderately (3),Moderately (3),Quite a bit (4),Moderately (3),Moderately (3),A little (2),Moderately (3),Moderately (3),Quite a bit (4),Very slightly or not at all (1) 
110,A little (2),A little (2),Moderately (3),Extremely (5),A little (2),A little (2),Quite a bit (4),A little (2),A little (2),Quite a bit (4),Extremely (5),Extremely (5),Moderately (3),Moderately (3),A little (2),Very slightly or not at all (1) ,Moderately (3),A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2)
111,Extremely (5),Very slightly or not at all (1) ,Extremely (5),Extremely (5),Very slightly or not at all (1) ,Extremely (5),Very slightly or not at all (1) ,Extremely (5),Very slightly or not at all (1) ,Extremely (5),Extremely (5),Very slightly or not at all (1) ,Extremely (5),Very slightly or not at all (1) ,Extremely (5),Very slightly or not at all (1) ,Extremely (5),Extremely (5),Very slightly or not at all (1) ,Extremely (5),Very slightly or not at all (1) 
112,Extremely (5),Very slightly or not at all (1) ,Extremely (5),Extremely (5),Very slightly or not at all (1) ,Extremely (5),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Extremely (5),Extremely (5),Very slightly or not at all (1) ,Extremely (5),Very slightly or not at all (1) ,Extremely (5),Very slightly or not at all (1) ,Extremely (5),Extremely (5),Very slightly or not at all (1) ,Extremely (5),Very slightly or not at all (1) 
113,Quite a bit (4),Very slightly or not at all (1) ,A little (2),Extremely (5),Moderately (3),A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Quite a bit (4),Quite a bit (4),A little (2),Quite a bit (4),Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) ,Extremely (5),Extremely (5),Very slightly or not at all (1) ,Extremely (5),Very slightly or not at all (1) 
114,Extremely (5),Very slightly or not at all (1) ,Quite a bit (4),Extremely (5),Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Quite a bit (4),Extremely (5),Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) ,Extremely (5),Extremely (5),Very slightly or not at all (1) ,Extremely (5),Very slightly or not at all (1) 
115,Quite a bit (4),A little (2),Quite a bit (4),Extremely (5),A little (2),Quite a bit (4),Quite a bit (4),A little (2),A little (2),Quite a bit (4),A little (2),Quite a bit (4),Extremely (5),Very slightly or not at all (1) ,Moderately (3),Quite a bit (4),Extremely (5),Extremely (5),Quite a bit (4),A little (2),Moderately (3)
116,Quite a bit (4),Very slightly or not at all (1) ,Quite a bit (4),Extremely (5),Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Quite a bit (4),Quite a bit (4),Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) ,Extremely (5),Moderately (3),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) 
117,Quite a bit (4),Very slightly or not at all (1) ,Quite a bit (4),Extremely (5),Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Quite a bit (4),Quite a bit (4),Very slightly or not at all (1) ,Extremely (5),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Extremely (5),Extremely (5),Very slightly or not at all (1) ,Extremely (5),Very slightly or not at all (1) 
118,Quite a bit (4),A little (2),A little (2),Extremely (5),Very slightly or not at all (1) ,A little (2),A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,A little (2),Quite a bit (4),A little (2),Moderately (3),Very slightly or not at all (1) ,Moderately (3),Quite a bit (4),Moderately (3),A little (2),Very slightly or not at all (1) 
119,Quite a bit (4),A little (2),Moderately (3),Extremely (5),A little (2),Quite a bit (4),Very slightly or not at all (1) ,A little (2),Moderately (3),Quite a bit (4),Moderately (3),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Quite a bit (4),A little (2),Quite a bit (4),Quite a bit (4),A little (2),Quite a bit (4),A little (2)
120,Quite a bit (4),Moderately (3),Quite a bit (4),Extremely (5),Quite a bit (4),Quite a bit (4),A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Quite a bit (4),Extremely (5),Extremely (5),Extremely (5),A little (2),Quite a bit (4),Extremely (5),Moderately (3),Quite a bit (4),Quite a bit (4),A little (2),Very slightly or not at all (1) 
121,Moderately (3),A little (2),Moderately (3),Extremely (5),A little (2),Moderately (3),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Moderately (3),Moderately (3),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,A little (2),A little (2),Moderately (3),Moderately (3),A little (2),A little (2),Very slightly or not at all (1) 
123,Extremely (5),Very slightly or not at all (1) ,Quite a bit (4),Extremely (5),Very slightly or not at all (1) ,Extremely (5),Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),Extremely (5),Extremely (5),Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) 
125,Extremely (5),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Extremely (5),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Moderately (3),Extremely (5),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) 
126,Quite a bit (4),A little (2),Quite a bit (4),Extremely (5),A little (2),Quite a bit (4),A little (2),A little (2),Very slightly or not at all (1) ,Extremely (5),Quite a bit (4),A little (2),Extremely (5),Very slightly or not at all (1) ,Extremely (5),A little (2),Extremely (5),Extremely (5),A little (2),Quite a bit (4),A little (2)
127,Moderately (3),Quite a bit (4),A little (2),Extremely (5),Moderately (3),A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),A little (2),A little (2),Moderately (3),Moderately (3),Very slightly or not at all (1) ,Moderately (3),Quite a bit (4),A little (2),Moderately (3),Moderately (3),Moderately (3),A little (2)
128,Extremely (5),Very slightly or not at all (1) ,Moderately (3),Extremely (5),A little (2),Quite a bit (4),A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Extremely (5),A little (2),A little (2),Quite a bit (4),Very slightly or not at all (1) ,Quite a bit (4),A little (2),Extremely (5),Extremely (5),Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) 
129,Quite a bit (4),Very slightly or not at all (1) ,Quite a bit (4),Extremely (5),Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Quite a bit (4),Quite a bit (4),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) ,Quite a bit (4),Quite a bit (4),Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) 
130,A little (2),Moderately (3),A little (2),Extremely (5),A little (2),Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Moderately (3),A little (2),Moderately (3),A little (2),Very slightly or not at all (1) ,A little (2),A little (2),Moderately (3),Moderately (3),A little (2),Moderately (3),Very slightly or not at all (1) 
131,Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),Extremely (5),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Moderately (3),A little (2),Moderately (3),A little (2),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Quite a bit (4),Moderately (3),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) 
132,Moderately (3),Moderately (3),A little (2),Extremely (5),Moderately (3),A little (2),Moderately (3),Moderately (3),A little (2),A little (2),Quite a bit (4),Quite a bit (4),Quite a bit (4),Moderately (3),A little (2),Quite a bit (4),A little (2),A little (2),A little (2),A little (2),Moderately (3)
134,Quite a bit (4),A little (2),A little (2),Extremely (5),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),Moderately (3),A little (2),A little (2),A little (2),Very slightly or not at all (1) ,A little (2),A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),A little (2),Very slightly or not at all (1) 
135,Quite a bit (4),A little (2),Moderately (3),Extremely (5),A little (2),Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Quite a bit (4),Quite a bit (4),Moderately (3),Extremely (5),Very slightly or not at all (1) ,Moderately (3),A little (2),Quite a bit (4),Moderately (3),A little (2),Quite a bit (4),A little (2)
136,Moderately (3),A little (2),A little (2),Extremely (5),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Moderately (3),Moderately (3),Very slightly or not at all (1) ,Quite a bit (4),Moderately (3),A little (2),Moderately (3),A little (2),Moderately (3),Moderately (3),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) 
137,Moderately (3),A little (2),A little (2),Extremely (5),A little (2),A little (2),A little (2),Very slightly or not at all (1) ,A little (2),A little (2),Very slightly or not at all (1) ,Moderately (3),A little (2),Very slightly or not at all (1) ,A little (2),A little (2),A little (2),A little (2),Very slightly or not at all (1) ,Moderately (3),A little (2)
138,Quite a bit (4),A little (2),A little (2),Extremely (5),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,A little (2),Extremely (5),Very slightly or not at all (1) ,A little (2),Moderately (3),Moderately (3),Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),A little (2)
139,Moderately (3),A little (2),Very slightly or not at all (1) ,Extremely (5),A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Moderately (3),A little (2),Very slightly or not at all (1) ,A little (2),Quite a bit (4),A little (2),Moderately (3),Quite a bit (4),Very slightly or not at all (1) ,A little (2)
140,Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Extremely (5),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),Extremely (5),Quite a bit (4),Very slightly or not at all (1) ,A little (2),Moderately (3),Moderately (3),Moderately (3),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) 
141,Moderately (3),Quite a bit (4),Very slightly or not at all (1) ,Extremely (5),Quite a bit (4),Very slightly or not at all (1) ,Quite a bit (4),A little (2),A little (2),Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),Quite a bit (4),A little (2),Extremely (5),Very slightly or not at all (1) ,A little (2),A little (2),Very slightly or not at all (1) ,A little (2)
142,Quite a bit (4),Moderately (3),Moderately (3),Extremely (5),A little (2),Very slightly or not at all (1) ,A little (2),Moderately (3),A little (2),Quite a bit (4),A little (2),A little (2),Quite a bit (4),A little (2),Moderately (3),Quite a bit (4),Moderately (3),Quite a bit (4),Quite a bit (4),Moderately (3),A little (2)
143,Quite a bit (4),Very slightly or not at all (1) ,A little (2),Extremely (5),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Moderately (3),Moderately (3),A little (2),Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Moderately (3),Quite a bit (4),Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) 
144,Quite a bit (4),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Extremely (5),Moderately (3),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),A little (2),Very slightly or not at all (1) ,Moderately (3),A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),Quite a bit (4),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) 
146,Extremely (5),A little (2),Quite a bit (4),Extremely (5),A little (2),Moderately (3),A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Quite a bit (4),Quite a bit (4),A little (2),Quite a bit (4),Very slightly or not at all (1) ,Quite a bit (4),A little (2),Quite a bit (4),Quite a bit (4),Very slightly or not at all (1) ,Extremely (5),Very slightly or not at all (1) 
147,Moderately (3),A little (2),Very slightly or not at all (1) ,Extremely (5),A little (2),A little (2),A little (2),A little (2),Very slightly or not at all (1) ,A little (2),A little (2),Very slightly or not at all (1) ,A little (2),A little (2),Moderately (3),A little (2),Moderately (3),A little (2),Very slightly or not at all (1) ,Moderately (3),A little (2)
149,Moderately (3),Very slightly or not at all (1) ,Moderately (3),Extremely (5),A little (2),Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),A little (2),Moderately (3),A little (2),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Moderately (3),Quite a bit (4),A little (2),Quite a bit (4),Very slightly or not at all (1) 
150,Quite a bit (4),Very slightly or not at all (1) ,A little (2),Extremely (5),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Moderately (3),Moderately (3),Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Quite a bit (4),Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) 
152,Moderately (3),A little (2),Moderately (3),Extremely (5),A little (2),Moderately (3),A little (2),Very slightly or not at all (1) ,A little (2),Moderately (3),A little (2),Moderately (3),Moderately (3),Very slightly or not at all (1) ,A little (2),A little (2),Moderately (3),A little (2),A little (2),Moderately (3),Very slightly or not at all (1) 
153,Moderately (3),A little (2),A little (2),Extremely (5),Moderately (3),Quite a bit (4),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Quite a bit (4),A little (2),Very slightly or not at all (1) ,Quite a bit (4),A little (2),A little (2),Moderately (3),Quite a bit (4),Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) 
154,Moderately (3),A little (2),Moderately (3),Extremely (5),A little (2),Quite a bit (4),A little (2),A little (2),Very slightly or not at all (1) ,Moderately (3),A little (2),A little (2),Moderately (3),Very slightly or not at all (1) ,Moderately (3),Quite a bit (4),Quite a bit (4),Quite a bit (4),Moderately (3),A little (2),Moderately (3)
155,Moderately (3),Very slightly or not at all (1) ,A little (2),Extremely (5),A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,A little (2),A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),A little (2),Moderately (3),A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) 
156,Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),Extremely (5),Very slightly or not at all (1) ,A little (2),A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Moderately (3),A little (2),A little (2),Moderately (3),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,A little (2),Quite a bit (4),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) 
157,Moderately (3),Quite a bit (4),Very slightly or not at all (1) ,Extremely (5),A little (2),A little (2),A little (2),Moderately (3),A little (2),Very slightly or not at all (1) ,A little (2),Quite a bit (4),A little (2),A little (2),A little (2),Quite a bit (4),A little (2),Moderately (3),Very slightly or not at all (1) ,A little (2),A little (2)
158,Moderately (3),Very slightly or not at all (1) ,A little (2),Extremely (5),Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Moderately (3),Extremely (5),Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Moderately (3),Quite a bit (4),Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) 
159,Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),Extremely (5),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Moderately (3),Moderately (3),A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,A little (2),Moderately (3),Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) 
160,Quite a bit (4),Very slightly or not at all (1) ,Quite a bit (4),Extremely (5),Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Quite a bit (4),Moderately (3),A little (2),Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Moderately (3),Moderately (3),Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) 
161,Moderately (3),Very slightly or not at all (1) ,A little (2),Extremely (5),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),Moderately (3),A little (2),Very slightly or not at all (1) ,A little (2),A little (2),A little (2),A little (2),A little (2),A little (2),Very slightly or not at all (1) 
